Global Volcanism Program - Volcanoes of the World 4.8.6,,,Basic List of Pleistocene Volcanoes,,Downloaded on 05 Mar 2020 at 10:51 AM,,,,,,,
Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
241806,Alderman Islands,New Zealand,Lava dome(s),,,New Zealand to Fiji,New Zealand,-36.97,176.08,0,,Subduction zone / Continental crust (>25 km)
241807,South Coromandel Peninsula,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-37.25,175.78,795,,Subduction zone / Continental crust (>25 km)
241808,Kaimai,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-37.8,176.22,564,,Subduction zone / Continental crust (>25 km)
241809,Karioi,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-37.87,174.8,756,,Subduction zone / Continental crust (>25 km)
241810,Pirongia,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-38,175.1,959,,Subduction zone / Continental crust (>25 km)
241811,Kakepuku,New Zealand,Lava cone(s),,,New Zealand to Fiji,New Zealand,-38.07,175.25,450,,Subduction zone / Continental crust (>25 km)
241812,Kaitake,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-39.17,173.97,684,,Subduction zone / Continental crust (>25 km)
241813,Pouakai,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-39.23,174.02,1399,,Subduction zone / Continental crust (>25 km)
241814,Solander Island,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-46.55,166.87,300,,Subduction zone / Continental crust (>25 km)
241815,Moutohora Island,New Zealand,Complex,,,New Zealand to Fiji,New Zealand,-37.858,176.98,354,,Subduction zone / Continental crust (>25 km)
241816,Rotorua,New Zealand,Caldera,,,New Zealand to Fiji,New Zealand,-38.08,176.27,757,,Subduction zone / Continental crust (>25 km)
241817,Kapenga,New Zealand,Caldera(s),,,New Zealand to Fiji,New Zealand,-38.27,176.27,840,,Subduction zone / Continental crust (>25 km)
241818,Mangakino,New Zealand,Caldera,,,New Zealand to Fiji,New Zealand,-38.35,175.75,1165,,Subduction zone / Continental crust (>25 km)
241819,Northern Tongariro Group,New Zealand,Stratovolcano(es),,,New Zealand to Fiji,New Zealand,-38.98,175.7,1327,,Subduction zone / Continental crust (>25 km)
241821,Rungapapa Knoll,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-37.547,176.98,0,,Subduction zone / Continental crust (>25 km)
242031,Hinetapeka,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-28.831,-177.826,-140,,
242032,Volcano OP,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-28.218,-177.692,-875,,
242040,Putoto,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-27.857,-177.621,-260,,
242041,Volcano Q,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-27.468,-177.506,-1200,,
242042,Gamble,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-27.2,-177.41,-900,,
242043,Rakahore,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-26.81,-177.4,-640,,
242044,Hinepuia,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-26.39,-177.26,-850,,
243015,Ata Volcanic Complex,Tonga,Unknown,,,New Zealand to Fiji,Tonga Islands,-22.337,-176.21,274,,
243055,Feinga Seamount,Tonga,Submarine,,,New Zealand to Fiji,Tonga Islands,-20.154,-175.163,-393,,Subduction zone / Oceanic crust (< 15 km)
243065,Unnamed,Tonga,Submarine,,,New Zealand to Fiji,Tonga Islands,-19.438,-174.952,-331,,Subduction zone / Oceanic crust (< 15 km)
243095,Toku,Tonga,Submarine,,,New Zealand to Fiji,Tonga Islands,-18.163,-174.181,21,,Subduction zone / Oceanic crust (< 15 km)
244800,Rose Island,United States,Shield,,,New Zealand to Fiji,Samoan and Wallis Islands,-14.545,-168.156,3,,Subduction zone / Oceanic crust (< 15 km)
245800,Nairai,Fiji,Complex,,,New Zealand to Fiji,Fiji Islands,-17.8,179.42,335,,Subduction zone / Crustal thickness unknown
245801,Waikama,Fiji,Complex,,,New Zealand to Fiji,Fiji Islands,-18.02,179.3,760,,Subduction zone / Crustal thickness unknown
245802,Mago,Fiji,Pyroclastic cone(s),,,New Zealand to Fiji,Fiji Islands,-17.45,-179.15,0,,Intraplate / Oceanic crust (< 15 km)
245803,Katafaga,Fiji,Unknown,,,New Zealand to Fiji,Fiji Islands,-17.52,-178.72,0,,Intraplate / Oceanic crust (< 15 km)
245804,Kabara,Fiji,Unknown,,,New Zealand to Fiji,Fiji Islands,-18.95,-178.95,0,,Intraplate / Oceanic crust (< 15 km)
251800,Vokeo,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-3.2,144.1,609,,Subduction zone / Continental crust (>25 km)
251801,Viai,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-3.39,144.404,58,,Subduction zone / Continental crust (>25 km)
251802,Bagabag,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-4.78,146.23,692,,Subduction zone / Continental crust (>25 km)
251803,Crown Island,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-5.117,146.952,298,,Subduction zone / Continental crust (>25 km)
251804,Tolokiwa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-5.32,147.58,1372,,Subduction zone / Continental crust (>25 km)
252800,Tangi,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-5.67,148.4,1524,,Subduction zone / Continental crust (>25 km)
252801,Narage,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-4.547,149.113,307,,Subduction zone / Oceanic crust (< 15 km)
252802,Bangum,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-5.345,149.94,988,,Subduction zone / Continental crust (>25 km)
252803,Oto Group,Papua New Guinea,Stratovolcano(es),,,Melanesia and Australia,New Britain,-5.558,150.407,1277,,Subduction zone / Continental crust (>25 km)
252804,Likuruanga,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-4.953,151.385,904,,Subduction zone / Continental crust (>25 km)
252811,Unea,Papua New Guinea,Caldera,,,Melanesia and Australia,New Britain,-4.888,149.143,579,,Subduction zone / Continental crust (>25 km)
252812,Lotomgan Group,Papua New Guinea,Pyroclastic cone(s),,,Melanesia and Australia,New Britain,-5.22,150.07,555,,Subduction zone / Continental crust (>25 km)
253000,Doma Peaks,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.9,143.15,3568,,Subduction zone / Continental crust (>25 km)
253001,Crater Mountain,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.581,145.091,2950,,Subduction zone / Continental crust (>25 km)
253002,Yelia,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.05,145.858,3384,,Subduction zone / Continental crust (>25 km)
253800,Kerewa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.02,143.15,3700,,Subduction zone / Continental crust (>25 km)
253801,Sisa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.13,142.73,2650,,Subduction zone / Continental crust (>25 km)
253802,Bosavi,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.58,142.82,2397,,Subduction zone / Continental crust (>25 km)
253803,Darai Hills,Papua New Guinea,Volcanic field,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.8,143.08,500,,Subduction zone / Continental crust (>25 km)
253804,Biwau Hills,Papua New Guinea,Pyroclastic cone(s),,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.32,143.28,400,,Subduction zone / Continental crust (>25 km)
253805,Sugarloaf,Papua New Guinea,Volcanic field,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.78,143.75,3900,,Subduction zone / Continental crust (>25 km)
253806,Hagen,Papua New Guinea,Stratovolcano(es),,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.77,144.03,3765,,Subduction zone / Continental crust (>25 km)
253807,Giluwe,Papua New Guinea,Shield,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.05,143.88,4368,,Subduction zone / Continental crust (>25 km)
253808,Ialibu,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.23,144.03,3465,,Subduction zone / Continental crust (>25 km)
253809,Murray,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.75,144.02,2254,,Subduction zone / Continental crust (>25 km)
253810,Suaru,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.25,144.83,2667,,Subduction zone / Continental crust (>25 km)
253811,Karimui,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.57,144.77,2561,,Subduction zone / Continental crust (>25 km)
253812,Duau,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.92,144.58,1850,,Subduction zone / Continental crust (>25 km)
253813,Favenc,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.97,144.68,1583,,Subduction zone / Continental crust (>25 km)
253814,Aird Hills,Papua New Guinea,Lava dome(s),,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.45,144.35,328,,Subduction zone / Continental crust (>25 km)
253815,Trafalgar,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.17,149.17,1726,,Subduction zone / Continental crust (>25 km)
254800,Tabar,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Ireland,-2.97,152.043,607,,Subduction zone / Crustal thickness unknown
254801,Tanga,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Ireland,-3.5,153.22,472,,Subduction zone / Crustal thickness unknown
255800,Emperor Range,Papua New Guinea,Caldera(s),,,Melanesia and Australia,Bougainville and Solomon Islands,-5.7,154.95,2040,,Subduction zone / Crustal thickness unknown
255801,Numa Numa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-6.02,155.192,1567,,Subduction zone / Crustal thickness unknown
255802,Bakanovi,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-6.15,155.35,600,,Subduction zone / Continental crust (>25 km)
255803,Nonda,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-7.67,156.6,760,,Subduction zone / Crustal thickness unknown
255804,Maetambe,Solomon Islands,Unknown,,,Melanesia and Australia,Bougainville and Solomon Islands,-7.08,157.03,960,,Subduction zone / Crustal thickness unknown
255805,Kolombangara,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-7.97,157.08,1760,,Subduction zone / Crustal thickness unknown
255806,Rendova,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.47,157.33,1050,,Subduction zone / Crustal thickness unknown
255807,Mbareke,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.55,158.07,500,,Subduction zone / Continental crust (>25 km)
255808,Vangunu,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.67,158,1040,,Subduction zone / Crustal thickness unknown
255809,Nggatokae,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.78,158.18,840,,Subduction zone / Continental crust (>25 km)
257800,Ureparapara,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-13.53,167.32,764,,Subduction zone / Intermediate crust (15-25 km)
257801,Mota,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-13.85,167.68,411,,Subduction zone / Intermediate crust (15-25 km)
257802,Merig,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-14.32,167.8,125,,Subduction zone / Intermediate crust (15-25 km)
257803,Paama Island,Vanuatu,Complex,,,Melanesia and Australia,Vanuatu,-16.47,168.23,544,,Unknown
257804,Fatmalapa,Vanuatu,Stratovolcano(es),,,Melanesia and Australia,Vanuatu,-17.57,168.37,500,,Subduction zone / Intermediate crust (15-25 km)
257805,William,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-18.7,169.08,886,,Subduction zone / Intermediate crust (15-25 km)
257806,Emae,Vanuatu,Complex,,,Melanesia and Australia,Vanuatu,-17.063,168.381,629,,Unknown
257807,Pumpan,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-18.85,169.12,802,,Subduction zone / Intermediate crust (15-25 km)
257808,Melkum,Vanuatu,Stratovolcano(es),,,Melanesia and Australia,Vanuatu,-18.85,169.05,758,,Subduction zone / Intermediate crust (15-25 km)
257809,East Tanna Volcano,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-19.42,169.45,552,,Subduction zone / Continental crust (>25 km)
257810,Unnamed,Vanuatu,Submarine,,,Melanesia and Australia,Vanuatu,-17.292,168.575,-551,,Subduction zone / Intermediate crust (15-25 km)
259800,Maer Volcanic Province,Australia,Pyroclastic cone(s),,,Melanesia and Australia,Australia,-9.717,143.833,171,,Intraplate / Continental crust (>25 km)
259801,Piebald Volcanic Province,Australia,Shield(s),,,Melanesia and Australia,Australia,-15.23,145.03,420,,Intraplate / Continental crust (>25 km)
259802,Mclean Volcanic Province,Australia,Pyroclastic cone(s),,,Melanesia and Australia,Australia,-15.87,144.83,610,,Intraplate / Continental crust (>25 km)
259803,Atherton Volcanic Province,Australia,Shield(s),,,Melanesia and Australia,Australia,-17.3,145.72,1160,,Intraplate / Continental crust (>25 km)
259804,McBride Volcanic Province,Australia,Shield(s),,,Melanesia and Australia,Australia,-18.33,144.55,1020,,Intraplate / Continental crust (>25 km)
259805,Fox,Australia,Pyroclastic cone,,,Melanesia and Australia,Australia,-18.85,145.8,840,,Intraplate / Continental crust (>25 km)
259806,Chudleigh Volcanic Province,Australia,Shield(s),,,Melanesia and Australia,Australia,-19.73,144.2,1000,,Intraplate / Continental crust (>25 km)
259807,Nulla Volcanic Province,Australia,Shield(s),,,Melanesia and Australia,Australia,-19.82,145.08,840,,Intraplate / Continental crust (>25 km)
259808,Sturgeon Volcanic Province,Australia,Shield(s),,,Melanesia and Australia,Australia,-20.35,144.25,0,,Intraplate / Continental crust (>25 km)
259809,Bundaberg-Boyne Province,Australia,Pyroclastic cone(s),,,Melanesia and Australia,Australia,-25.58,151.87,330,,Intraplate / Continental crust (>25 km)
261101,Imun,Indonesia,Lava cone,,,Indonesia,Sumatra,2.156,98.934,1503,,Subduction zone / Continental crust (>25 km)
261171,Kunyit,Indonesia,Stratovolcano,,,Indonesia,Sumatra,-2.274,101.483,2151,,Subduction zone / Continental crust (>25 km)
261201,"Lumut, Bukit",Indonesia,Stratovolcano,,,Indonesia,Sumatra,-3.224,102.205,1738,,Subduction zone / Continental crust (>25 km)
261202,"Tiga, Bukit",Indonesia,Stratovolcano,,,Indonesia,Sumatra,-3.308,102.256,1629,,Subduction zone / Continental crust (>25 km)
261250,Besar,Indonesia,Stratovolcano?,,,Indonesia,Sumatra,-4.437,103.671,1900,,Subduction zone / Continental crust (>25 km)
261285,Pesawaran-Ratai,Indonesia,Stratovolcano,,,Indonesia,Sumatra,-5.505,105.093,1575,,
261800,Pulau Weh,Indonesia,Stratovolcano,,,Indonesia,Sumatra,5.82,95.28,617,,Subduction zone / Continental crust (>25 km)
261801,Olim,Indonesia,Fissure vent(s),,,Indonesia,Sumatra,5.2,96.18,0,,Subduction zone / Continental crust (>25 km)
261802,Teu Minas,Indonesia,Stratovolcano,,,Indonesia,Sumatra,5.17,96.43,0,,Subduction zone / Continental crust (>25 km)
261803,Geureugoh,Indonesia,Fissure vent(s),,,Indonesia,Sumatra,5.15,96.67,0,,Subduction zone / Continental crust (>25 km)
261805,"Tudeuk, Gunung",Indonesia,Lava dome,,,Indonesia,Sumatra,5,96.57,0,,Subduction zone / Continental crust (>25 km)
261806,Nama Salah,Indonesia,Unknown,,,Indonesia,Sumatra,4.65,96.78,0,,Subduction zone / Continental crust (>25 km)
261807,"Telago, Gunung",Indonesia,Unknown,,,Indonesia,Sumatra,4.47,96.82,1930,,Subduction zone / Continental crust (>25 km)
261808,"Sembuang, Gunung",Indonesia,Explosion crater,,,Indonesia,Sumatra,4.62,97.42,0,,Subduction zone / Continental crust (>25 km)
261809,Geureudong,Indonesia,Stratovolcano,,,Indonesia,Sumatra,4.813,96.82,2885,,Subduction zone / Continental crust (>25 km)
261810,Kembar,Indonesia,Shield,,,Indonesia,Sumatra,3.85,97.664,2245,,Subduction zone / Continental crust (>25 km)
261811,Bekulap,Indonesia,Lava dome(s) ?,,,Indonesia,Sumatra,3.288,98.351,1782,,Subduction zone / Continental crust (>25 km)
261812,Takur-Takur,Indonesia,Unknown,,,Indonesia,Sumatra,3.222,98.627,1499,,Subduction zone / Continental crust (>25 km)
261813,"Tenaroh, Bukit",Indonesia,Unknown,,,Indonesia,Sumatra,3.12,98.63,0,,Subduction zone / Continental crust (>25 km)
261814,Simbolon,Indonesia,Stratovolcano,,,Indonesia,Sumatra,3.02,98.9,1509,,Subduction zone / Continental crust (>25 km)
261816,Martimbang,Indonesia,Stratovolcano,,,Indonesia,Sumatra,1.96,98.968,1669,,Subduction zone / Continental crust (>25 km)
261817,Maninjau,Indonesia,Caldera,,,Indonesia,Sumatra,-0.35,100.2,1724,,Subduction zone / Crustal thickness unknown
261818,"Telor, Bukit",Indonesia,Pyroclastic cone,,,Indonesia,Sumatra,-1.245,103.523,38,,Subduction zone / Continental crust (>25 km)
261819,Masurai,Indonesia,Stratovolcano,,,Indonesia,Sumatra,-2.503,101.858,2916,,Subduction zone / Continental crust (>25 km)
261820,Raja,Indonesia,Unknown,,,Indonesia,Sumatra,-4.83,104.08,1643,,Subduction zone / Continental crust (>25 km)
261821,Pesagi,Indonesia,Unknown,,,Indonesia,Sumatra,-4.92,104.15,2232,,Unknown
261822,Sukadana Basalts,Indonesia,Fissure vent,,,Indonesia,Sumatra,-5.25,105.65,300,,Subduction zone / Continental crust (>25 km)
261823,"Simacak, Uruk",Indonesia,Stratovolcano,,,Indonesia,Sumatra,3.237,98.433,1908,,
261824,Barus,Indonesia,Stratovolcano,,,Indonesia,Sumatra,3.204,98.564,1969,,
261858,Seulawah Inong,Indonesia,Unknown,,,Indonesia,Sumatra,5.43,95.77,730,,Unknown
261859,Melintang,Indonesia,Stratovolcano,,,Indonesia,Sumatra,-0.32,100.67,2262,,Subduction zone / Continental crust (>25 km)
261861,Tujuh,Indonesia,Stratovolcano,,,Indonesia,Sumatra,-1.7,101.42,2732,,Subduction zone / Continental crust (>25 km)
261862,Runcing,Indonesia,Unknown,,,Indonesia,Sumatra,-1.755,101.627,1789,,Subduction zone / Continental crust (>25 km)
261863,Isau-Isau,Indonesia,Unknown,,,Indonesia,Sumatra,-3.967,103.643,1422,,Subduction zone / Continental crust (>25 km)
261864,"Nanti, Bukit",Indonesia,Unknown,,,Indonesia,Sumatra,-4.2,103.85,1619,,Unknown
261865,Tanggamus,Indonesia,Stratovolcano,,,Indonesia,Sumatra,-5.427,104.675,2079,,Unknown
263080,Wayang-Windu,Indonesia,Lava dome,,,Indonesia,Java,-7.213,107.637,2184,,Subduction zone / Continental crust (>25 km)
263081,Malabar,Indonesia,Stratovolcano,,,Indonesia,Java,-7.132,107.639,2307,,Subduction zone / Continental crust (>25 km)
263160,"Putri, Gunung",Indonesia,Lava dome,,,Indonesia,Java,-7.136,108.076,1538,,Subduction zone / Continental crust (>25 km)
263292,Malang Plain,Indonesia,Maar(s),,,Indonesia,Java,-8.067,112.733,662,,Subduction zone / Continental crust (>25 km)
263321,Lurus,Indonesia,Complex,,,Indonesia,Java,-7.739,113.58,507,,Subduction zone / Continental crust (>25 km)
263800,Endut,Indonesia,Stratovolcano,,,Indonesia,Java,-6.62,106.37,1297,,Subduction zone / Continental crust (>25 km)
263801,Halimun,Indonesia,Stratovolcano,,,Indonesia,Java,-6.72,106.45,1929,,Unknown
263802,Halimun,Indonesia,Stratovolcano,,,Indonesia,Java,-6.846,106.563,1741,,Unknown
263803,Kancana,Indonesia,Stratovolcano,,,Indonesia,Java,-6.897,107.041,1213,,Unknown
263804,Tilu,Indonesia,Stratovolcano,,,Indonesia,Java,-7.156,107.529,2042,,Unknown
263805,"Kamojang, Kawah",Indonesia,Stratovolcano(es),,,Indonesia,Java,-7.125,107.8,1730,,Subduction zone / Continental crust (>25 km)
263806,Cakrabuana,Indonesia,Stratovolcano,,,Indonesia,Java,-7.03,108.13,1721,,Subduction zone / Continental crust (>25 km)
263807,Lasem,Indonesia,Stratovolcano,,,Indonesia,Java,-6.68,111.52,806,,Unknown
263808,Ringgit,Indonesia,Stratovolcano,,,Indonesia,Java,-7.72,113.85,1250,,Unknown
263810,Gede,Indonesia,Unknown,,,Indonesia,Java,-5.93,106.07,595,,Unknown
263811,Cibugis,Indonesia,Stratovolcano,,,Indonesia,Java,-6.5,106.57,613,,Unknown
263812,Kendeng,Indonesia,Stratovolcano,,,Indonesia,Java,-6.768,106.526,1732,,Subduction zone / Continental crust (>25 km)
263813,Sanggabuana,Indonesia,Stratovolcano,,,Indonesia,Java,-6.58,107.22,1291,,Unknown
263814,Kancana,Indonesia,Stratovolcano,,,Indonesia,Java,-7.32,107.63,2182,,Unknown
263815,Mandalagiri,Indonesia,Stratovolcano,,,Indonesia,Java,-7.4,107.78,1831,,Unknown
263816,Cikuray,Indonesia,Stratovolcano,,,Indonesia,Java,-7.322,107.86,2784,,Unknown
263817,Mandalawangi-Haruman,Indonesia,Stratovolcano,,,Indonesia,Java,-7.05,107.87,1663,,Unknown
263818,Canlancang,Indonesia,Unknown,,,Indonesia,Java,-6.97,107.95,1667,,Unknown
263819,Sedakeling,Indonesia,Stratovolcano,,,Indonesia,Java,-7.12,108.03,1676,,Unknown
263820,Sawal,Indonesia,Stratovolcano,,,Indonesia,Java,-7.18,108.27,1764,,Unknown
263821,Selokaki,Indonesia,Stratovolcano,,,Indonesia,Java,-7.83,112.35,1083,,Unknown
263822,Argowayang,Indonesia,Stratovolcano,,,Indonesia,Java,-7.77,112.43,2198,,Unknown
264070,Poco Leok,Indonesia,Stratovolcano,,,Indonesia,Lesser Sunda Islands,-8.68,120.48,1675,,Subduction zone / Crustal thickness unknown
264800,Ilikedeka,Indonesia,Stratovolcano,,,Indonesia,Lesser Sunda Islands,-8.301,122.907,823,,Subduction zone / Crustal thickness unknown
264830,Merbuk,Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.226,114.653,1359,,Subduction zone / Continental crust (>25 km)
264831,Patas,Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.261,114.817,1390,,Subduction zone / Continental crust (>25 km)
264833,Seraja,Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.377,115.654,1142,,Subduction zone / Continental crust (>25 km)
264834,Punikan,Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.47,116.13,1490,,Unknown
264836,"Lambuwu, Doro",Indonesia,Stratovolcano,,,Indonesia,Lesser Sunda Islands,-8.362,118.497,1602,,Subduction zone / Continental crust (>25 km)
264837,"Maria, Doro",Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.483,118.924,1423,,Subduction zone / Continental crust (>25 km)
264838,"Saboke, Doro",Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.68,119.12,1000,,Subduction zone / Continental crust (>25 km)
264839,Gilibanta,Indonesia,Stratovolcano?,,,Indonesia,Lesser Sunda Islands,-8.42,119.32,363,,Subduction zone / Continental crust (>25 km)
264840,"Otota, Doro",Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.72,119.42,518,,Subduction zone / Continental crust (>25 km)
264841,"Ora, Doro",Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.75,119.67,668,,Subduction zone / Continental crust (>25 km)
264842,"Beliling, Gunung",Indonesia,Unknown,,,Indonesia,Lesser Sunda Islands,-8.62,119.97,1153,,Subduction zone / Continental crust (>25 km)
264843,Sangenges,Indonesia,Stratovolcano,,,Indonesia,Lesser Sunda Islands,-8.58,117.122,1824,,
264845,Tarowa,Indonesia,Caldera,,,Indonesia,Lesser Sunda Islands,-8.704,118.161,755,,
266807,Lompobatang,Indonesia,Stratovolcano,,,Indonesia,Sulawesi,-5.35,119.92,2871,,Unknown
267060,Lipang,Indonesia,Stratovolcano,,,Indonesia,Sangihe Islands,3.911,125.39,126,,Subduction zone / Oceanic crust (< 15 km)
267065,Napo Taroare,Indonesia,Submarine,,,Indonesia,Sangihe Islands,4.048,125.345,0,,Subduction zone / Oceanic crust (< 15 km)
267070,Kawalusu,Indonesia,Stratovolcano,,,Indonesia,Sangihe Islands,4.232,125.329,239,,Subduction zone / Oceanic crust (< 15 km)
267075,North Kawio,Indonesia,Submarine,,,Indonesia,Sangihe Islands,4.684,125.468,109,,Subduction zone / Oceanic crust (< 15 km)
267090,Kawio Barat,Indonesia,Submarine,,,Indonesia,Sangihe Islands,4.675,125.088,-1874,,Subduction zone / Oceanic crust (< 15 km)
268800,Hamiding,Indonesia,Unknown,,,Indonesia,Halmahera,1.62,127.82,1204,,Subduction zone / Oceanic crust (< 15 km)
269010,Tawau Hills,Malaysia,Pyroclastic cone,,,Indonesia,Borneo,4.383,117.95,1077,,Subduction zone / Continental crust (>25 km)
269810,Usun Apau Plateau,Malaysia,Unknown,,,Indonesia,Borneo,2.75,114.67,0,,Intraplate / Continental crust (>25 km)
269811,Linau-Balui Plateau,Malaysia,Unknown,,,Indonesia,Borneo,2.35,114.1,0,,Intraplate / Continental crust (>25 km)
269812,"Kajang Plateau, Bukit",Malaysia,Unknown,,,Indonesia,Borneo,2.33,113.67,0,,Intraplate / Continental crust (>25 km)
269813,Nuit,Malaysia,Unknown,,,Indonesia,Borneo,1.02,109.93,1701,,Intraplate / Continental crust (>25 km)
269814,Mostyn,Malaysia,Fissure vent(s) ?,,,Indonesia,Borneo,4.6,118.18,0,,Intraplate / Continental crust (>25 km)
270010,Jolo,Philippines,Pyroclastic cone(s),,,Philippines and SE Asia,Sulu Islands,6,121.125,811,,Subduction zone / Crustal thickness unknown
271072,Balatukan,Philippines,Compound,,,Philippines and SE Asia,Mindanao,8.77,124.98,2450,,Subduction zone / Continental crust (>25 km)
271090,Paco-Maniayao,Philippines,Stratovolcano,,,Philippines and SE Asia,Mindanao,9.593,125.52,664,,Subduction zone / Continental crust (>25 km)
271800,Blit,Philippines,Unknown,,,Philippines and SE Asia,Mindanao,6.958,124.23,1198,,Subduction zone / Continental crust (>25 km)
271801,Quezon,Philippines,Lava dome(s),,,Philippines and SE Asia,Mindanao,6.58,124.62,652,,Subduction zone / Continental crust (>25 km)
271802,Kitabud,Philippines,Unknown,,,Philippines and SE Asia,Mindanao,7.285,124.662,1167,,Subduction zone / Continental crust (>25 km)
271803,Imbing,Philippines,Stratovolcano(es),,,Philippines and SE Asia,Mindanao,7.68,123.23,700,,Subduction zone / Continental crust (>25 km)
271804,Kaladis,Philippines,Stratovolcano,,,Philippines and SE Asia,Mindanao,7.58,122.97,0,,Subduction zone / Continental crust (>25 km)
