Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
264260,"Tara, Batu","Stolz A J, Varne R, Wheller G E, Foden J D, Abbott M J",1988,"The geochemistry and petrogenesis of K-rich alkaline volcanics from the Batu Tara volcano, eastern Sunda arc","Contr Mineral Petr, 98: 374-389"
264260,"Tara, Batu","Van Bergen M J, Vroon P Z, Varekamp J C, Poorter R P E",1992,"The origin of the potassic rock suite from Batu Tara volcano (East Sunda Arc, Indonesia)","Lithos, 28: 261-282"
264270,Sirung,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
264270,Sirung,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
264270,Sirung,"Varekamp J C, van Bergen M J, Vroon P Z, Poorter R P E, Wirakusumah A D, Erfan R, Suharyono K, Sriwana T",1989,"Volcanism and tectoinics in the eastern Sunda arc, Indonesia","Netherlands J Sea Res, 24: 303-312"
265030,Gunungapi Wetar,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volcanol, 41: 586-608"
265030,Gunungapi Wetar,"Kaswanda O, Said H, Rahardja N",1987,,(pers. comm.)
265030,Gunungapi Wetar,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265030,Gunungapi Wetar,Sudradjat A,1977,,(pers. comm.)
265040,Wurlali,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volcanol, 41: 586-608"
265040,Wurlali,"Kaswanda O, Said H, Rahardja N",1987,,(pers. comm.)
265040,Wurlali,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265040,Wurlali,Sudradjat A,1977,,(pers. comm.)
265040,Wurlali,Vroon P Z,1992,"Subduction of continental material in the Banda Arc, eastern Indonesia: Sr-Nd-Pb isotope and trace element evidence from volcanics and sediments","Fac Aardwetenschappen Rijksuniversiteit Utrecht, 205 p"
265050,Teon,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volcanol, 41: 586-608"
265050,Teon,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265050,Teon,Sudradjat A,1977,,(pers. comm.)
265060,Nila,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volcanol, 41: 586-608"
265060,Nila,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
265060,Nila,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265060,Nila,"Varekamp J C, Snellius II Shipboard Party",1984,"The Banda arc volcanoes, eastern Indonesia (abs)","Eos, Trans Amer Geophys Union, 65: 1135"
265060,Nila,Vroon P Z,1992,"Subduction of continental material in the Banda Arc, eastern Indonesia: Sr-Nd-Pb isotope and trace element evidence from volcanics and sediments","Fac Aardwetenschappen Rijksuniversiteit Utrecht, 205 p"
265070,Serua,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volcanol, 41: 586-608"
265070,Serua,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
265070,Serua,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265070,Serua,Sudradjat A,1977,,(pers. comm.)
265090,Banda Api,"Casadevall T J, Pardyanto L, Abas H, Tulus",1989,"The 1988 eruption of Banda Api volcano, Maluku, Indonesia","Geol Indonesia, 12: 603-635"
265090,Banda Api,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volcanol, 41: 586-608"
265090,Banda Api,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
265090,Banda Api,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265090,Banda Api,Vroon P Z,1992,"Subduction of continental material in the Banda Arc, eastern Indonesia: Sr-Nd-Pb isotope and trace element evidence from volcanics and sediments","Fac Aardwetenschappen Rijksuniversiteit Utrecht, 205 p"
266010,Colo,"Katili J A, Kartaadiputra L, Surio",1963,"Magma type and tectonic position of the Una-Una Island, Indonesia","Bull Volcanol, 26: 431-454"
266010,Colo,"Katili J A, Sudradjat A",1984,"The devastating 1983 eruption of Colo volcano, Una-Una Island, central Sulawesi, Indonesia","Geol Jahrb, 75: 27-47"
266010,Colo,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266010,Colo,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266010,Colo,Sudradjat A,1977,,(pers. comm.)
266020,Ambang,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
266020,Ambang,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266020,Ambang,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266030,Soputan,"Kushendratno, Pallister J S, Kristianto, Bina F R, McCausland W, Carn S, Haerani N, Griswold J, Keeler R",2012,"Recent explosive eruptions and volcano hazards at Soputan volcano--a basalt stratovolcano in north Sulawesi, Indonesia","Bull Volcanol, 74: 1581-1609"
266030,Soputan,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266030,Soputan,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
266030,Soputan,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266040,Riendengan-Sempu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266040,Riendengan-Sempu,"Sardiyanto, Nurseto S T, Prasetyo I M, Thamrin M H, Kamah M Y",2015,Permeability Control on Tompaso Geothermal Field and Its Relationship to Regional Tectonic Setting,"Proceedings World Geothermal Congress 2015, Melbourne, Australia"
266100,Lokon-Empung,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
266100,Lokon-Empung,Matahelumual J,1986,G Lokon-Empung,"Bull Volc Surv Indonesia, 114: 1-52 (in Indonesian)"
266100,Lokon-Empung,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
266100,Lokon-Empung,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266110,Mahawu,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266110,Mahawu,Matahelumual J,1986,G Lokon-Empung,"Bull Volc Surv Indonesia, 114: 1-52 (in Indonesian)"
266110,Mahawu,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
266110,Mahawu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266130,Tangkoko-Duasudara,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
266130,Tangkoko-Duasudara,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266130,Tangkoko-Duasudara,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
266130,Tangkoko-Duasudara,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266130,Tangkoko-Duasudara,"Tatsumi Y, Murasaki M, Arsadi E M, Nohda S",1991,Geochemistry of Quaternary lavas from NE Sulawesi: transfer of subduction components into the mantle wedge,"Contr Mineral Petr, 107: 137-149"
267010,Ruang,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
267010,Ruang,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
267010,Ruang,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
267010,Ruang,Neumann van Padang M,1959,Changes in the top of Mount Ruang (Indonesia),"Geol en Mijnbouw, 21: 113-118"
267020,Karangetang,Manalu L,1986,G Karangetang,"Bull Volc Surv Indonesia, 109: 1-48"
267020,Karangetang,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
267020,Karangetang,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
267020,Karangetang,Sudradjat A,1977,,(pers. comm.)
267020,Karangetang,Volcanological Survey of Indonesia,1986,Annual report of the Volcanological Survey 1984-1985,"Bull Volc Surv Indonesia, no 113"
267030,Banua Wuhu,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
267030,Banua Wuhu,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
267030,Banua Wuhu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
267030,Banua Wuhu,Zelenov K K,1964,"The submarine volcano Banua Wuhu, Indonesia","Bandung Inst Tech Dept Geol Contr, 55: 19-34"
267040,Awu,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
267040,Awu,Matahelumual J,1985,G Awu,"Bull Volc Surv Indonesia, 107: 1-51 (in Indonesian)"
267040,Awu,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J. Volcanol. Geotherm. Res., 19: 135-165"
267040,Awu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268010,Dukono,Hantke G,1953,Ubersicht uber die Vulkanische Tatigkeit 1948-1950,"Bull Volcanol, 14: 151-180"
268010,Dukono,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
268010,Dukono,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268010,Dukono,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268030,Ibu,Jezek P,1979,Volcano resume--Ibu,"Volcano News, 1: 7"
268030,Ibu,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268030,Ibu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268030,Ibu,"Saing U B, Bani P, Kristianto",2014,"Ibu volcano, a center of spectacular dacite dome growth and long-term continuous eruptive discharges","J. Volcanol. Geotherm. Res., 282:36-42."
268030,Ibu,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268040,Gamkonora,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268040,Gamkonora,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268040,Gamkonora,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268060,Gamalama,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268060,Gamalama,"Bronto S, Hadisantono R D, Lockwood J P",1982,"Geologic map of Gamalama volcano, Ternate, North Maluku","Volc Surv Indonesia, 1:25,000 geol map"
268060,Gamalama,Gogarten E,1918,Die Vulkane der Nordlichen Molukken,"Zeit Vulk, 2: 1-298"
268060,Gamalama,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
268060,Gamalama,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268060,Gamalama,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268060,Gamalama,Sudradjat A,1977,,(pers. comm.)
268063,Moti,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268063,Moti,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268063,Moti,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268070,Makian,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
268070,Makian,Matahelumual J,1986,G Makian,"Bull Volc Surv Indonesia, 110: 1-37 (in Indonesian)"
268070,Makian,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268070,Makian,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268070,Makian,Sudradjat A,1977,,(pers. comm.)
271011,Parker,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
271011,Parker,"Delfin F G Jr, Newhall C G, Martinez M L, Salonga N D, Bayon F E B, Trimble D, Solidum R",1997,"Geological, 14C, and historical evidence for a 17th century eruption of Parker volcano, Mindanao, Philippines","J Geol Soc Philippines, 52: 25-42"
271011,Parker,Newhall C G,2004,,(pers. comm.)
271011,Parker,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
271011,Parker,Smithsonian Institution-GVN,1990-,[Monthly event reports],"Bull Global Volc Network, v 15-33"
271020,Matutum,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271020,Matutum,"Delfin F G Jr, Newhall C G, Martinez M L, Salonga N D, Bayon F E B, Trimble D, Solidum R",1997,"Geological, 14C, and historical evidence for a 17th century eruption of Parker volcano, Mindanao, Philippines","J Geol Soc Philippines, 52: 25-42"
271020,Matutum,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
271020,Matutum,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271020,Matutum,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
271020,Matutum,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271031,Leonard Range,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
271031,Leonard Range,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
271031,Leonard Range,"Ramos S, Zaide-Delfin M, Takashima I, Bayrante L, Panem C, Pioquinto W",2000,"Thermoluminescence dating in Mt. Labo and North Davao, Philippines: implications on geothermal wells","Proc World Geotherm Cong 2000, Kyushu-Tohoku Japan, May 28-June 10, 2000, p 1617-1622"
271031,Leonard Range,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
271031,Leonard Range,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271031,Leonard Range,Wolfe J A,1982,,(pers. comm.)
271040,Makaturing,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271040,Makaturing,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
271040,Makaturing,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271040,Makaturing,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
271060,Ragang,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271060,Ragang,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
271060,Ragang,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271060,Ragang,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
271060,Ragang,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
271060,Ragang,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271070,Musuan,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271070,Musuan,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
271070,Musuan,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
271070,Musuan,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271070,Musuan,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
271080,Camiguin,"Alcaraz A, Abad L F, Quema J C",1952,"Hibok-Hibok volcano, Philippine Islands, and activity since 1948","Volcano Lett, 516: 1-6 & 517: 1-4"
271080,Camiguin,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271080,Camiguin,"Castillo P R, Janney P E, Solidum R U",1999,"Petrology and geochemistry of Camiguin Island, southern Philippines: insights to the source of adakites and other lavas in a complex arc setting","Contr Mineral Petr, 134: 33-51"
271080,Camiguin,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
271080,Camiguin,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
271080,Camiguin,"Macdonald G A, Alcaraz A",1956,Nuees ardentes of the 1948-1953 eruption of Hibok-Hibok,"Bull Volcanol, 18: 169-178"
271080,Camiguin,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271080,Camiguin,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
272020,Kanlaon,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272020,Kanlaon,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
272020,Kanlaon,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272020,Kanlaon,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
272020,Kanlaon,"Solidum R U, Castillo P R, Hawkins J W",2003,"Geochemistry of lavas from Negros Arc, west central Philippines: insights into the contribution from the subducting slab","Geochem. Geophys. Geosyst., 4: 9008"
272020,Kanlaon,"von Biedersee H, Pichler H",1995,The Canlaon and its neighbouring volcanoes in the Negros Belt/Philippines,"J Southeast Asian Earth Sci, 11: 111-123"
272050,Cabalían,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272050,Cabalían,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
272050,Cabalían,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
272050,Cabalían,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272050,Cabalían,Newhall C G,2008,,(pers. comm.)
272050,Cabalían,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
272070,Mahagnao,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272070,Mahagnao,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
272070,Mahagnao,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
272070,Mahagnao,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272070,Mahagnao,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
272080,Biliran,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272080,Biliran,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
272080,Biliran,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
272080,Biliran,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272080,Biliran,PHIVOLCS,2018-,Volcanoes of the Philippines,https://www.phivolcs.dost.gov.ph/index.php/volcano-hazard/volcanoes-of-the-philippines
272080,Biliran,Pena O,1982,,(pers. comm.)
272080,Biliran,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
272080,Biliran,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
273010,Bulusan,Bautista L P,1988,The 1988 Bulusan volcano activity,"Phivolcs Observer, 4: 1-3"
273010,Bulusan,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273010,Bulusan,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273010,Bulusan,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
273010,Bulusan,"McDermott F, Delfin F G Jr, Defant M J, Turner S, Maury R",2005,"The petrogenesis of volcanics from Mt. Bulusan and Mt. Mayon in the Bicol arc, Philippines","Contr Mineral Petr, 150: 652-670"
