Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
211003,Vulsini,Varekamp J C,1980,"The geology of the Vulsinian area, Lazio, Italy","Bull Volcanol, 43: 487-504"
211004,Colli Albani,"Amato A, Chiarabba C, Cocco M, di Bona M, Selvaggi G",1994,"The 1989-1990 seismic swarm in the Alban Hills volcanic area, central Italy","J. Volcanol. Geotherm. Res., 61: 225-237"
211004,Colli Albani,"Anzidei M, Baldi P, Casula G, Galvani A, Riguzzi F, Zanutta A",1998,Evidence of active crustal deformation of the Colli Albani volcanic area (central Italy) by GPS surveys,"J. Volcanol. Geotherm. Res., 80: 55-65"
211004,Colli Albani,"Anzidei M, Carapezza M L, Esposito A, Giordano G, Lelli M, Tarchini L",2008,"The Albano Maar Lake high resolution bathymetry and dissolved CO budget (Colli Albani volcano, Italy): constraints to hazard evaluation","J. Volcanol. Geotherm. Res., 171: 258-268"
211004,Colli Albani,Blanc A C,1953,Excursion au Mont Circe,"Internatl Quat Assoc (INQUA) Guidebook, p 5-19"
211004,Colli Albani,"Boari E, Avanzinelli R, Melluso L, Giordano G, Mattei M, De Benedetti A A,  Morra V, Conticelli S",2009,"Isotope geochemistry (Sr-Nd-Pb) and petrogenesis of leucite-bearing volcanic rocks from ""Colli Albani"" volcano, Roman Magmatic Province, Central Italy: inferences on volcano evolution and magma genesis","Bull Volcanol, 71: 977-1005"
211004,Colli Albani,"Chiarabba C, Amato A, Delaney P T",1997,"Crustal structure, evolution, and volcanic unrest of the Alban Hills, central Italy","Bull Volcanol, 59: 161-170"
211004,Colli Albani,"De Benedetti A A, Funiciello R, Giodano G, Diano G, Caprilli E, Paterne M",2008,"Volcanology, history and myths of the Lake Albano maar (Colli Albani volcano, Italy)","J. Volcanol. Geotherm. Res., 176: 387-406"
211004,Colli Albani,"De Rita D, Funiciello R, Rosa C",1991,"Volcanic activity and drainage network evolution of the Alban Hills area (Rome, Italy)","Acta Vulc, 2: 185-198"
211004,Colli Albani,"De Rita D, Giordano G, Esposito A, Fabbri M, Rodani S",2002,"Large volume phreatomagmatic ignimbrites from the Colli Albani volcano (Middle Pleistocene, Italy)","J. Volcanol. Geotherm. Res., 118: 77-98"
211004,Colli Albani,"Freda C, Gaeta M, Karner D B, Marra F, Renne P R, Taddeucci J, Scarlato P, Christensen J N, Dallai L",2006,"Eruptive history and petrologic evolution of the Albano multiple maar (Alban Hills, Central Italy)","Bull Volcanol, 68: 567-591"
211004,Colli Albani,"Freda C, Gaeta M, Palladino D M, Trigila R",1997,"The Villa Senni eruption (Alban Hills, central Italy: the role of H20 and CO2 on the magma chamber evolution and on the eruptive scenario","J. Volcanol. Geotherm. Res., 78: 103-120"
211004,Colli Albani,"Funiciello R, Giodano G, De Rita D",2003,"The Albano maar lake (Colli Albani volcano, Italy): recent volcanic activity and evidence of pre-Roman age catastrophic lahar events","J. Volcanol. Geotherm. Res., 123: 43-61"
211004,Colli Albani,"Giaccio B, Marra F, Hajdas I, Karner D B, Renne P R, Sposato A",2009,"40Ar/39Ar and 14C geochronology of the Albano maar deposits: implications for defining the age and eruptive style of the most recent explosive activity at Colli Albani volcanic district, Central Italy","J. Volcanol. Geotherm. Res., 185: 203-213"
211004,Colli Albani,"Giordano G, De Benedetti A A, Diana A, Diano G, Gaudioso F, Marasco F, Miceli M, Mollo S, Cas R A F, Funiciello R",2006,"The Colli Albani mafic caldera (Roma, Italy): stratigraphy, structure and petrology","J. Volcanol. Geotherm. Res., 155: 49-80"
211004,Colli Albani,"Giordano G, De Rita D, Cas R, Rodani S",2002,"Valley pond and ignimbrite veneer deposits in the small-volume phreatomagmatic `Peperino Albano' basic ignimbrite, Lago Albano maar, Colli Albani volcano, Italy: influence of topography","J. Volcanol. Geotherm. Res., 118: 131-144"
211004,Colli Albani,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior"
211004,Colli Albani,"Karner D B, Marra F, Renne P R",2001,The history of the Monti Sabatini and Alban Hills volcanoes: groundwork for assessing volcanic-tectonic hazards for Rome,"J. Volcanol. Geotherm. Res., 107: 185-219"
211004,Colli Albani,Krafft M,1974,Guide des Volcans d'Europe,"Neuchatel: Delachaux & Niestle, 412 p"
211004,Colli Albani,"Krafft M, Dominique de Larouziere F",1991,Guide des Volcans d'Europe et des Canaries,"Lausanne, Switzerland: Delachaux and Niestle, 455 p"
211004,Colli Albani,"Marra F, Freda C, Scarlato P, Taddeucci J, Karner D B, Renne P R, Gaeta M, Palladino D M, Trigila R, Cavarretta G",2003,Post-caldera activity in the Alban Hills volcanic district (Italy): 40Ar/39Ar geochronology and insights into magma evolution,"Bull Volcanol, 65: 227-247"
211004,Colli Albani,"Marra F, Karner D B, Freda C, Gaeta M, Renne P",2009,"Large mafic eruptions at Alban Hills volcanic district (Central Italy): chronostratigraphy, petrography and eruptive behavior","J. Volcanol. Geotherm. Res., 179: 217-232"
211004,Colli Albani,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
211004,Colli Albani,"Palladino D M, Gaeta M, Marra F",2001,"A large K-foiditic hydromagmatic eruption from the early activity of the Alban Hills volcanic district, Italy","Bull Volcanol, 63: 345-359"
211004,Colli Albani,"Peccerillo A, Poli G, Tolomeo L",1984,"Genesis, evolution and tectonic significance of K-rich volcanics from the Alban Hills (Roman comagmatic region) as inferred from trace element geochemistry","Contr Mineral Petr, 86: 230-240"
211004,Colli Albani,"Porreca M, Mattei M, MacNiocaill C, Giordano G, McClelland E, Funiciello R",2008,"Palemagnetic evidence for low-temperature emplacement of the phreatomagmatic Peperino Albano ignimbrite (Colli Albani volcano, Central Italy)","Bull Volcanol, 70: 877-893"
211004,Colli Albani,Scandone R,1987,,(pers. comm.)
211004,Colli Albani,"Stothers R B, Rampino M R",1983,Volcanic eruptions in the Mediterranean before AD 630 from written and archaeological sources,"J. Geophys. Res, 88: 6357-6371"
211004,Colli Albani,"Villa I M, Calanchi N, Dinelli E, Lucchini F",1999,Age and evolution of the Albano crater lake (Roman Volcanic Province),"Acta Vulc, 11: 305-310"
211004,Colli Albani,"Watkins S D, Giordano G, Cas R A F, De Rita D",2002,"Emplacement processes of the mafic Villa Senni Eruption Unit (VSEU) ignimbrite succession, Colli Albani volcano, Italy","J. Volcanol. Geotherm. Res., 118: 173-203"
211010,Campi Flegrei,"Armienti P, Barberi F, Bizouard H, Clocchiatti R, Innocenti F, Metrich N, Rosi M, Sbrana A",1983,The Phlegrean Fields: magma evolution within a shallow chamber,"J. Volcanol. Geotherm. Res., 17: 289-311"
211010,Campi Flegrei,Bruno P P,2004,Structure and evolution of the Bay of Pozzuoli (Italy) using marine seismic relflection data: implications for collapse of the Campi Flegrei caldera.,"Bull Volcanol, 66: 342-355"
211010,Campi Flegrei,"Costa  A, Dell'Erba F, Di Vito M A, Isaia R, Macedonio G, Orsi G, Pfeiffer T",2009,Tephra fallout hazard assessment at the Campi Flegrei caldera (Italy),"Bull Volcanol, 71: 259-273"
211010,Campi Flegrei,"Cubellis E, Ferri M, Luongo G",1995,Internal structures of the Campi Flegrei caldera by gravimetric data,"J. Volcanol. Geotherm. Res., 65: 147-156"
211010,Campi Flegrei,"D'Oriano C, Poggianti E, Bertagnini A, Cioni R, Landi P, Polacci M, Rosi M",2005,"Changes in eruptive style during the A.D. 1538 Monte Nuovo eruption (Phlegrean Fields, Italy): the role of syn-eruptive crystallization","Bull Volcanol, 67: 601-621"
211010,Campi Flegrei,"Deino A L, Orsi G, de Vita S, Piochi M",2004,The age of the Neapolitan Yellow Tuff caldera-forming eruption (Campi Flegrei caldera - Italy) assessed by 40Ar/39Ar dating method,"J. Volcanol. Geotherm. Res., 133: 157-170"
211010,Campi Flegrei,"Dellino P, Isaia R, La Volpe L, Orsi G",2001,"Statistical analysis of textural data from complex pyroclastic sequences: implications for fragmentation processes of the Agnano-Monte Spine Tephra (4.1 ka), Phlegrean Fields, southern Italy","Bull Volcanol, 63: 443-461"
211010,Campi Flegrei,"Dellino P, Isaia R, La Volpe L, Orsi G",2004,"Interaction between particles transported by fallout and surge in the deposits of the Agnano-Monte Spina eruption (Campi Flegrei, southern Italy)","J. Volcanol. Geotherm. Res., 133: 193-210"
211010,Campi Flegrei,"Di Girolamo P, Ghiara M R, Lirer L, Munno R, Rolandi G, Stanzione D",1984,Vulcanologia e petrologia dei Campi Flegrei,"Bol Soc Geol Italia, 103: 394-413"
211010,Campi Flegrei,"Di Vito M A, Isaia R, Orsi G, Southon J, de Vita S, D'Antonio M D, Pappalardo L, Piochi M",1999,"Volcanism and deformation since 12,000 years at the Campi Flegrei caldera (Italy)","J. Volcanol. Geotherm. Res., 91: 221-246"
211010,Campi Flegrei,"Di Vito M A, Sulpizio R, Zanchetta G, D'Orazio M",2008,The late Pleistocene pyroclastic deposits of the Campanian Plain:  new insights into the explosive activity of Neapolitan volcanoes,"J. Volcanol. Geotherm. Res., 177: 19-48"
211010,Campi Flegrei,"Fedele L, Scarpati C, Lanphere M, Melluso L, Morra V, Perrotta A, Ricci G",2008,"The Breccia Museo formation, Campi Flegrei, southern Italy: geochronology, chemostratigraphy and relationship with the Campanian Ignimbrite eruption","Bull Volcanol, 70: 1189-1219"
211010,Campi Flegrei,"Fisher R V, Orsi G, Ort M, Heiken G",1993,"Mobility of a large-volume pyroclastic flow - emplacement of the Campanian ignimbrite, Italy","J. Volcanol. Geotherm. Res., 56: 205-220"
211010,Campi Flegrei,"Fulignati P, Marianelli P, Proto M, Sbrana A",2004,"Evidences for disruption of a crystallizing front in a magma chamber during caldera collapse: an example from the Breccia Museo (Campanian Ignimbrite eruption, Italy)","J. Volcanol. Geotherm. Res., 133: 141-155"
211010,Campi Flegrei,Grindley G W,1976,"Relation of volcanism to earth movements, Bay of Naples, Italy","In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 598-612"
211010,Campi Flegrei,Imbo G,1965,Italy,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 18: 1-72"
211010,Campi Flegrei,"Isaia R, D'Antonio M, Dell'Erba F, Di Vito M, Orsi G",2004,The Astroni volcano: the only example of closely spaced eruptions in the same vent area during the recent history of the Campi Flegrei caldera (Italy),"J. Volcanol. Geotherm. Res., 133: 171-192"
211010,Campi Flegrei,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211010,Campi Flegrei,"Lirer L, Luongo G, Scandone R",1987,On the volcanological evolution of Campi Flegrei,"Eos, Trans Amer Geophys Union, 68: 226-227, 229, 231, 233-234"
211010,Campi Flegrei,"Lirer L, Petrosino P, Alberico I",2001,Hazard assessment at volcanic fields: the Campi Flegrei case history,"J. Volcanol. Geotherm. Res., 112: 53-73"
211010,Campi Flegrei,"Melluso L, Morra V, Perrotta A, Scarpati C, Adabbo M",1995,"The eruption of The Breccia Museo (Campi Flegrei, Italy): fractional crystallization processes in a shallow, zoned magma chamber and implications for the eruptive dynamics","J. Volcanol. Geotherm. Res., 68: 325-339"
211010,Campi Flegrei,"Orsi G, Civetta L, D'Antonio M D, Di Girolamo P, Piochi M",1995,Step-filling and development of a three-layer magma chamber: the Neapolitan Yellow Tuff case history,"J. Volcanol. Geotherm. Res., 67: 291-312"
211010,Campi Flegrei,"Orsi G, D'Antonio M, de Vita S, Gallo G",1992,"The Neapolitan Yellow Tuff, a large-magnitude trachytic phreatoplinian eruption: eruptive dynamics, magma withdrawal and caldera collapse","J. Volcanol. Geotherm. Res., 53: 275-287"
